genre,category
dutch singer-songwriter,other
dutch stoner rock,rock
dutch tech house,other
dutch trance,other
dutch underground hip hop,hiphop
early american folk,folk
early avant garde,other
early french punk,punk
early modern classical,classic
early music,other
early music choir,other
early music ensemble,other
early reggae,reggae
early romantic era,other
early synthpop,pop
early us punk,punk
east anglia indie,other
east coast hip hop,hiphop
east coast reggae,reggae
easy listening,other
easycore,other
eau claire indie,other
ebm,other
ecm-style jazz,jazz
ectofolk,folk
ecuadorian indie,other
ecuadorian pop,pop
edinburgh metal,metal
edm,other
edmonton indie,other
egg punk,punk
egyptian alternative,other
egyptian hip hop,hiphop
egyptian pop,pop
egyptian traditional,other
egyptian trap,trap
el paso indie,other
electra,other
electric bass,other
electric blues,blues
electro,other
electro bailando,other
electro dub,other
electro house,other
electro jazz,jazz
electro latino,other
electro swing,other
electro trash,other
electro-industrial,other
electro-pop francais,pop
electroacoustic composition,other
electroacoustic improvisation,other
electroclash,other
electrofox,other
electronic djent,electronic
electronic rock,electronic
electronic trap,trap
electronica,electronic
electronica argentina,electronic
electronica chilena,electronic
electronica peruana,electronic
electronica venezuela,electronic
electronicore,electronic
electropop,pop
electropowerpop,pop
elektropunk,punk
elephant 6,other
eletronica underground brasileira,other
emo,other
emo mexicano,other
emo punk,punk
emo rap,rap
emocore,other
emoplugg,other
emotional black metal,metal
emoviolence,other
english baroque,other
english indie rock,rock
english renaissance,other
entehno,other
environmental,other
epic black metal,metal
epic collage,other
epic doom,other
epicore,other
epunk,punk
er ge,other
erhu,other
erotic product,other
erotica,other
escape room,other
esperanto,other
essex indie,other
estonian electronic,electronic
estonian folk,folk
estonian hip hop,hiphop
estonian indie,other
estonian jazz,jazz
estonian metal,metal
estonian pop,pop
estonian rock,rock
ethereal gothic,other
ethereal wave,other
etherpop,pop
ethio-jazz,jazz
ethiopian pop,pop
ethiopian traditional,other
ethnomusicology,other
ethnotronica,other
eugene indie,other
euphonium,other
euphoric hardstyle,other
euro hi-nrg,other
eurobeat,other
eurodance,other
europop,pop
euroska,other
euskal indie,other
euskal metal,metal
euskal musica,other
euskal reggae,reggae
euskal rock,rock
exotica,other
experimental,other
experimental ambient,other
experimental bass,other
experimental big band,other
experimental black metal,metal
experimental classical,classic
experimental club,other
experimental dub,other
experimental dubstep,other
experimental electronic,electronic
experimental folk,folk
experimental guitar,other
experimental hip hop,hiphop
experimental house,other
experimental indie,other
experimental indie rock,rock
experimental jazz,jazz
experimental percussion,other
experimental poetry,other
experimental pop,pop
experimental psych,other
experimental r&b,other
experimental rock,rock
experimental synth,other
experimental techno,other
experimental vocal,other
fado,other
fado antigo,other
fado de coimbra,other
fado instrumental,other
fake,other
fallen angel,other
family gospel,other
fantasy,other
fantasy metal,metal
faroese indie,other
faroese jazz,jazz
faroese pop,pop
faroese rock,rock
fast melodic punk,punk
festigal,other
fictitious orchestra,other
fidget house,other
field recording,other
fife and drum,other
fijian pop,pop
filmi,other
filter house,other
filthstep,other
fingerstyle,other
finlandssvenska musik,other
finnish alternative rock,rock
finnish black metal,metal
finnish blues,blues
finnish choir,other
finnish classical,classic
finnish contemporary classical,classic
finnish dance pop,pop
finnish death metal,metal
finnish doom metal,metal
finnish drill,other
finnish edm,other
finnish electro,other
finnish electronic,electronic
finnish experimental,other
finnish folk,folk
finnish hard rock,rock
finnish hardcore,other
finnish heavy metal,metal
finnish hip hop,hiphop
finnish idol pop,pop
finnish indie,other
finnish jazz,jazz
finnish melodeath,other
finnish metal,metal
finnish modern jazz,jazz
finnish pop,pop
finnish post-punk,punk
finnish power metal,metal
finnish progressive metal,metal
finnish progressive rock,rock
finnish psychedelic rock,rock
finnish punk,punk
finnish reggae,reggae
finnish soul,other
finnish tango,other
finnish techno,other
finnish trap,trap
firenze indie,other
fisarmonica,other
flamenco,other
flamenco fusion,other
flamenco guitar,other
flashcore,other
flemish folk,folk
flick hop,other
flint hip hop,hiphop
float house,other
florida death metal,metal
florida drill,other
florida hardcore,other
florida rap,rap
flute rock,rock
fluxwork,other
fo jing,other
focus,other
focus beats,other
focus trance,other
fogo pentecostal,other
folclor afrocolombiano,other
folclor colombiano,other
folclore castilla y leon,other
folclore extremeno,other
folclore jujeno,other
folclore navarra,other
folclore salteno,other
folclore santiagueno,other
folclore tucumano,other
folk,folk
folk black metal,folk
folk brasileiro,folk
folk metal,folk
folk metal latinoamericano,folk
folk punk,folk
folk rock,folk
folk rock italiano,folk
folk siciliana,folk
folk-pop,folk
folklore argentino,folk
folklore boliviano,folk
folklore chileno,folk
folklore cuyano,folk
folklore ecuatoriano,folk
folklore peruano,folk
folklore quebecois,folk
folklore surero,folk
folklore veracruzano,folk
folkmusik,folk
folktronica,folk
footwork,other
forest black metal,metal
forest psy,other
forro,other
forro de favela,other
forro instrumental,other
forro tradicional,other
fort wayne indie,other
fort worth indie,other
fotbollslatar,other
fourth world,other
franco-flemish school,other
frankfurt electronic,electronic
frauenrap,rap
freak folk,folk
freakbeat,other
free folk,folk
free improvisation,other
free jazz,jazz
freeform hardcore,other
freestyle,other
fremantle indie,other
french baroque,other
french black metal,metal
french classical piano,classic
french contemporary classical,classic
french death metal,metal
french dnb,other
french dub,other
french emo,other
french experimental rock,rock
french folk pop,folk
french garage rock,rock
french hardcore,other
french hip hop,hiphop
french indie folk,folk
french indie pop,pop
french indietronica,other
french jazz,jazz
french metal,metal
french movie tunes,other
french oi,other
french opera,other
french orchestra,other
french pop,pop
french post-punk,punk
french post-rock,rock
french psychedelic,other
french punk,punk
french reggae,reggae
french renaissance,other
french rock,rock
french romanticism,other
french shoegaze,other
french soundtrack,other
french stoner rock,rock
french synthpop,pop
french tech house,other
french techno,other
french worship,other
frenchcore,other
full on,other
full on groove,other
funana,other
funeral doom,other
funk,other
funk 150 bpm,other
funk carioca,other
funk consciente,other
funk das antigas,other
funk melody,other
funk metal,metal
funk mexicano,other
funk mtg,other
funk ostentacao,other
funk paulista,other
funk pop,pop
funk rj,other
funk rock,rock
funktronica,other
funky breaks,other
funky house,other
funky tech house,other
furry,other
fussball,other
future ambient,other
future bass,other
future bounce,other
future funk,other
future garage,other
future house,other
future rock,rock
futurepop,pop
futuristic swag,other
g funk,other
g-house,other
gabber,other
gabonese pop,pop
gaian doom,other
gainesville indie,other
gaita,other
galante era,other
galego,other
galician folk,folk
galician indie,other
galician jazz,jazz
galician rock,rock
gambian hip hop,hiphop
gambian pop,pop
game mood,other
gamecore,other
gamelan,other
gaming dubstep,other
gaming edm,other
gangster rap,rap
garage house,other
garage pop,pop
garage psych,other
garage punk,punk
garage punk blues,blues
garage rock,rock
garage rock mexicano,rock
garage rock revival,rock
garifuna folk,folk
gauze pop,pop
gay chorus,other
gbvfi,other
geek folk,folk
geek rock,rock
gen z singer-songwriter,other
gengetone,other
georgian alternative,other
georgian electronic,electronic
georgian folk,folk
georgian polyphony,other
georgian pop,pop
german alternative rap,rap
german alternative rock,rock
german baroque,other
german black metal,metal
german blues,blues
german boom bap,other
german ccm,other
german choir,other
german classical piano,classic
german cloud rap,rap
german contemporary classical,classic
german country,other
german dance,other
german dark minimal techno,other
german death metal,metal
german dnb,other
german drill,other
german electronica,electronic
german hard rock,rock
german hardcore,other
german heavy metal,metal
german hip hop,hiphop
german house,other
german indie,other
german indie folk,folk
german indie pop,pop
german jazz,jazz
german jazz rap,rap
german literature,other
german melodeath,other
german metal,metal
german metalcore,metal
german oi,other
german opera,other
german orchestra,other
german pagan metal,metal
german pop,pop
german pop rock,pop
german post-hardcore,other
german post-punk,punk
german post-rock,rock
german power metal,metal
german prog,other
german punk,punk
german punk rock,punk
german r&b,other
german reggae,reggae
german renaissance,other
german rock,rock
german rockabilly,rock
german romanticism,other
german shoegaze,other
german show tunes,other
german singer-songwriter,other
german ska,other
german soundtrack,other
german stoner rock,rock
german street punk,punk
german tech house,other
german techno,other
german thrash metal,metal
german trance,other
german trap,trap
german underground rap,rap
german viral rap,rap
ghanaian alternative,other
ghanaian hip hop,hiphop
ghanaian pop,pop
ghanaian traditional,other
ghazal,other
ghent indie,other
ghettotech,other
girl group,other
glam metal,metal
glam punk,punk
glam rock,rock
glasgow indie,other
glass,other
glee club,other
glitch,other
glitch beats,other
glitch hop,other
glitch pop,pop
glitchbreak,other
glitchcore,other
glitter trance,other
gnawa,other
go-go,other
goa psytrance,other
goa trance,other
golden age hip hop,hiphop
gong,other
goralski,other
goregrind,other
gospel,other
gospel antigas,other
gospel blues,blues
gospel drill,other
gospel italiano,other
gospel r&b,other
gospel rap,rap
gospel reggae,reggae
gospel singers,other
gospel soul,other
gothabilly,other
gothenburg hip hop,hiphop
gothenburg indie,other
gothenburg metal,metal
gothic alternative,other
gothic americana,other
gothic black metal,metal
gothic doom,other
gothic metal,metal
gothic post-punk,punk
gothic rock,rock
gothic symphonic metal,metal
gotico brasileiro,other
gotlandsk musik,other
gqom,other
granada indie,other
grand rapids indie,rap
grave wave,other
graz indie,other
grebo,other
greek black metal,metal
greek clarinet,other
greek contemporary classical,classic
greek downtempo,other
greek folk,folk
greek guitar,other
greek hip hop,hiphop
greek house,other
greek indie,other
greek indie rock,rock
greek jazz,jazz
greek metal,metal
greek pop,pop
greek psychedelic rock,rock
greek punk,punk
greek rock,rock
greek swing,other
greek techno,other
greek trap,trap
greek underground rap,rap
greenlandic pop,pop
gregorian chant,other
gregorian dance,other
grenada soca,other
grim death metal,metal
grime,other
grime brasileiro,other
grimewave,other
grindcore,other
griot,other
grisly death metal,metal
groove metal,metal
groove room,other
grunge,other
grunge pop,pop
grunge revival,other
grungegaze,other
grunneger muziek,other
grupera,other
gruperas inmortales,other
grupero romantico,other
guadalajara indie,other
guam indie,other
guaracha,other
guatemalan indie,other
guatemalan metal,metal
guatemalan pop,pop
guidance,other
guided meditation,other
guinean pop,pop
guitar case,other
guitarra andina,other
guitarra argentina,other
guitarra clasica,other
guitarra mexicana,other
guitarra portuguesa,other
gujarati garba,other
gujarati pop,pop
gulf hip hop,hiphop
gumbe,other
guqin,other
guyanese pop,pop
guzheng,other
gwoka,other
gym hardstyle,other
gym phonk,other
gymcore,other
gypsy,other
gypsy fusion,other
gypsy jazz,jazz
gypsy punk,punk
h8000,other
haitian dance,other
haitian gospel,other
haitian traditional,other
hakkapop,pop
halftime dnb,other
halifax indie,other
halloween,other
hamburg electronic,electronic
hamburg hip hop,hiphop
hamburg indie,other
hamburger schule,other
hamilton on indie,other
hammered dulcimer,other
hammond organ,other
hampton roads indie,other
handbells,other
handpan,other
hands up,other
happy hardcore,other
hard alternative,other
hard bass,other
hard bop,other
hard chime,other
hard dance,other
hard glam,other
hard house,other
hard industrial techno,other
hard minimal techno,other
hard motivation,other
hard rock,rock
hard rock brasileiro,rock
hard stoner rock,rock
hard techno,other
hard trance,other
hardcore,other
hardcore breaks,other
hardcore hip hop,hiphop
hardcore punk,punk
hardcore punk espanol,punk
hardcore techno,other
hardgroove,other
hardingfele,other
hardstyle,other
hardtekk,other
hardvapour,other
hardwave,other
hare krishna,other
harlem hip hop,hiphop
harlem renaissance,other
harmonica blues,blues
harmonica jazz,jazz
harmonikka,other
harp,other
harpsichord,other
harsh noise wall,other
hauntology,other
haur kantak,other
hawaiian,other
hawaiian hip hop,hiphop
hawaiian indie,other
hawaiian punk,punk
hazaragi pop,pop
healing,other
heartland rock,rock
heavy alternative,other
heavy gothic rock,rock
heavy psych,other
hel,other
hengelliset laulut,other
hi-nrg,other
hi-tech,other
high vibe,other
high-tech minimal,other
highlife,other
himalayan folk,folk
hindi hip hop,hiphop
hindi indie,other
hindustani classical,classic
hindustani instrumental,other
hindustani vocal,other
hip hop,hiphop
hip hop cubano,hiphop
hip hop galsen,hiphop
hip hop quebecois,hiphop
hip hop tuga,hiphop
hip house,other
hip pop,pop
hip-hop experimental,other
hipco,other
hiplife,other
histoire pour enfants,other
historic classical performance,classic
historic orchestral performance,other
historic piano performance,other
historic string quartet,other
historical keyboard,other
historically informed performance,other
hk-pop,k-pop
hmong pop,pop
hoerspiel,other
hokkaido indie,other
hokkien pop,pop
hollywood,other
hong kong indie,other
hong kong tv drama,other
honky tonk,other
honky-tonk piano,other
hopebeat,other
horo,other
horror punk,punk
horror synth,other
horrorcore,other
hot jazz,jazz
house,other
house argentino,other
houston indie,other
houston rap,rap
huayno,other
huayno peruano,other
huayno popular,pop
hula,other
hungarian black metal,metal
hungarian choir,other
hungarian classical performance,classic
hungarian classical piano,classic
hungarian contemporary classical,classic
hungarian edm,other
hungarian folk,folk
hungarian hip hop,hiphop
hungarian indie,other
hungarian metal,metal
hungarian pop,pop
hungarian punk,punk
hungarian rock,rock
hungarian techno,other
hungarian underground rap,rap
huqin,other
hurdy-gurdy,other
hyperpop,pop
hyperpop brasileiro,pop
hyperpop francais,pop
hyperpop italiano,pop
hypertrance,other
hyphy,other
hypnagogic pop,pop
hypnosis,other
hypnotic techno,other
icelandic black metal,metal
icelandic choir,other
icelandic classical,classic
icelandic electronic,electronic
icelandic experimental,other
icelandic folk,folk
icelandic hip hop,hiphop
icelandic indie,other
icelandic jazz,jazz
icelandic metal,metal
icelandic pop,pop
icelandic post-punk,punk
icelandic punk,punk
icelandic rock,rock
icelandic singer-songwriter,other
icelandic traditional,other
idaho hip hop,hiphop
idaho indie,other
idol,other
idol kayo,other
idol rock,rock
igbo pop,pop
igbo rap,rap
igbo trap,trap
igbo worship,other
ilahiler,other
illbient,other
ilocano pop,pop
impressionism,other
indian ambient,other
indian classical,classic
indian edm,other
indian electronic,electronic
indian folk,folk
indian fusion,other
indian indie,other
indian instrumental,other
indian instrumental rock,rock
indian jazz,jazz
indian metal,metal
indian percussion,other
indian rock,rock
indian singer-songwriter,other
indian underground rap,rap
indian violin,other
indiana hip hop,hiphop
indiana indie,other
indie anthem-folk,folk
indie canario,other
indie cantabria,other
indie catala,other
indie curitibano,other
indie dream pop,pop
indie electronica,electronic
indie electropop,pop
indie emo,other
indie emo rock,rock
indie extremena,other
indie folk,folk
indie folk argentino,folk
indie folk italiano,folk
indie fuzzpop,pop
indie game soundtrack,other
indie garage rock,rock
indie hip hop,hiphop
indie jazz,jazz
indie liguria,other
indie michoacano,other
indie nica,other
indie platense,other
indie pop,pop
indie pop rap,rap
indie pop rock,pop
indie poptimism,pop
indie psych-pop,pop
indie psychedelic rock,rock
indie punk,punk
indie quebecois,other
indie r&b,other
indie rock,rock
indie rock italiano,rock
indie rock mexicano,rock
indie rock peruano,rock
indie rockism,rock
indie salvadoreno,other
indie shoegaze,other
indie siciliano,other
indie singer-songwriter,other
indie soul,other
indie surf,other
indie triste,other
indie valenciana,other
indie veneto,other
indie viet,other
indiecoustica,other
indietronica,other
indonesian bamboo,other
indonesian black metal,metal
indonesian city pop,pop
indonesian edm,other
indonesian experimental,other
indonesian folk,folk
indonesian hardcore,other
indonesian hip hop,hiphop
indonesian idol pop,pop
indonesian indie,other
indonesian indie rock,rock
indonesian jazz,jazz
indonesian metal,metal
indonesian neo-psychedelia,other
indonesian pop,pop
indonesian pop rock,pop
indonesian psychedelia,other
indonesian punk,punk
indonesian r&b,other
indonesian reggae,reggae
indonesian rock,rock
indonesian singer-songwriter,other
indonesian ska,other
indonesian thrash metal,metal
indonesian underground hip hop,hiphop
indonesian worship,other
indorock,rock
industrial,other
industrial black metal,metal
industrial hardcore,other
industrial hip hop,hiphop
industrial metal,metal
industrial noise,other
industrial pop,pop
industrial rock,rock
industrial techno,other
indy indie,other
instrumental acoustic guitar,other
instrumental black metal,metal
instrumental bluegrass,other
instrumental death metal,metal
instrumental djent,other
instrumental funk,other
instrumental grime,other
instrumental hip hop,hiphop
instrumental lullaby,other
instrumental math rock,rock
instrumental post-rock,rock
instrumental progressive metal,metal
instrumental rock,rock
instrumental soul,other
instrumental stoner rock,rock
instrumental surf,other
instrumental worship,other
intelligent dance music,other
inuit pop,pop
inuit traditional,other
iowa hip hop,hiphop
iowa indie,other
iranian experimental,other
iranian metal,metal
iraqi hip hop,hiphop
irish accordion,other
irish ballad,other
irish banjo,other
irish black metal,metal
irish classical,classic
irish contemporary classical,classic
irish country,other
irish dance,other
irish death metal,metal
irish drill,other
irish electronic,electronic
irish experimental,other
irish experimental electronic,electronic
irish fiddle,other
irish flute,other
irish folk,folk
irish gaelic folk,folk
irish hip hop,hiphop
irish indie,other
irish indie rock,rock
irish metal,metal
irish modern jazz,jazz
irish neo-traditional,other
irish pop,pop
irish post-punk,punk
irish pub song,other
irish punk,punk
irish rebel song,other
irish rock,rock
irish singer-songwriter,other
irish techno,other
irish underground rap,rap
iskelma,other
isle of man indie,other
isle of wight indie,other
israeli classical,classic
israeli classical piano,classic
israeli hip hop,hiphop
israeli indie,other
israeli jazz,jazz
israeli mediterranean,other
israeli metal,metal
israeli pop,pop
israeli punk,punk
israeli rock,rock
israeli singer-songwriter,other
israeli techno,other
israeli traditional,other
israeli trap,trap
israelite hip hop,hiphop
italian adult pop,pop
italian alternative,other
italian baritone,other
italian baroque,other
italian baroque ensemble,other
italian bass,other
italian black metal,metal
italian blues,blues
italian choir,other
italian classical guitar,classic
italian classical piano,classic
italian contemporary classical,classic
italian contemporary jazz,jazz
italian death metal,metal
italian doom metal,metal
italian electronica,electronic
italian emo,other
italian experimental,other
italian folk,folk
italian folk metal,folk
italian gothic,other
italian gothic metal,metal
italian hardcore,other
italian heavy metal,metal
italian hip hop,hiphop
italian indie pop,pop
italian industrial,other
italian jazz,jazz
italian jazz fusion,jazz
italian library music,other
italian lounge,other
italian mandolin,other
italian metal,metal
italian mezzo-soprano,other
italian modern prog,other
italian new wave,other
italian occult psychedelia,other
italian opera,other
italian orchestra,other
italian pop,pop
italian pop rock,pop
italian post-punk,punk
italian power metal,metal
italian progressive metal,metal
italian progressive rock,rock
italian punk,punk
italian renaissance,other
italian rockabilly,rock
italian romanticism,other
italian screamo,other
italian ska,other
italian soprano,other
italian soundtrack,other
italian stoner rock,rock
italian tech house,other
italian techno,other
italian tenor,other
italian trance,other
italian underground hip hop,hiphop
italian violin,other
italo dance,other
italo disco,disco
italo house,other
italogaze,other
j-acoustic,other
j-ambient,other
j-core,other
j-division,other
j-idol,other
j-indie,other
j-metal,metal
j-pixie,other
j-pop,pop
j-pop boy group,pop
j-pop girl group,pop
j-poprock,pop
j-punk,punk
j-rap,rap
j-reggae,reggae
j-rock,rock
jackin_ house,other
jacksonville indie,other
jain bhajan,other
jam band,other
jamaican dancehall,other
jamaican hip hop,hiphop
jamaican ska,other
jamgrass,other
jamtronica,other
jangle pop,pop
jangle rock,rock
japanese alternative pop,pop
japanese alternative rock,rock
japanese beats,other
japanese bedroom pop,pop
japanese black metal,metal
japanese boom bap,other
japanese celtic,other
japanese chill rap,rap
japanese chillhop,other
japanese classical,classic
japanese classical performance,classic
japanese classical piano,classic
japanese concert band,other
japanese contemporary classical,classic
japanese dance pop,pop
japanese death metal,metal
japanese dream pop,pop
japanese dub,other
japanese edm,other
japanese electronic,electronic
japanese electropop,pop
japanese emo,other
japanese experimental,other
japanese folk,folk
japanese garage rock,rock
japanese girl punk,punk
japanese guitar,other
japanese hardcore,other
japanese heavy metal,metal
japanese house,other
japanese hyperpop,pop
japanese idm,other
japanese indie folk,folk
japanese indie pop,pop
japanese indie rock,rock
japanese instrumental,other
japanese jazz,jazz
japanese jazz fusion,jazz
japanese jazztronica,jazz
japanese math rock,rock
japanese melodic punk,punk
japanese metalcore,metal
japanese new wave,other
japanese old school hip hop,hiphop
japanese orchestra,other
japanese piano,other
japanese pop punk,pop
japanese pop rap,rap
japanese post-hardcore,other
japanese post-punk,punk
japanese post-rock,rock
japanese power metal,metal
japanese prog,other
japanese progressive house,other
japanese psychedelic,other
japanese psychedelic rock,rock
japanese punk rock,punk
japanese r&b,other
japanese screamo,other
japanese shoegaze,other
japanese singer-songwriter,other
japanese ska,other
japanese soul,other
japanese soundtrack,other
japanese techno,other
japanese teen pop,pop
japanese traditional,other
japanese trap,trap
japanese underground rap,rap
japanese vgm,other
japanese vocal jazz,jazz
japanese vtuber,other
japanoise,other
javanese gamelan,other
jaw harp,other
jawaiian,other
jazz,jazz
jazz accordion,jazz
jazz blues,blues
jazz boom bap,jazz
jazz brass,jazz
jazz caraibes,jazz
jazz catala,jazz
jazz chileno,jazz
jazz clarinet,jazz
jazz colombiano,jazz
jazz composition,jazz
jazz cover,jazz
jazz cubano,jazz
jazz dominicano,jazz
jazz double bass,jazz
jazz drums,jazz
jazz flute,jazz
jazz funk,jazz
jazz fusion,jazz
jazz guitar,jazz
jazz guitar trio,jazz
jazz harp,jazz
jazz house,jazz
jazz metal,jazz
jazz mexicano,jazz
jazz orchestra,jazz
jazz organ,jazz
jazz piano,jazz
jazz pop,pop
jazz puertorriqueno,jazz
jazz quartet,jazz
jazz rap,rap
jazz rock,jazz
jazz saxophone,jazz
jazz tico,jazz
jazz trio,jazz
jazz trombone,jazz
jazz trumpet,jazz
jazz tuba,jazz
jazz venezolano,jazz
jazz vibraphone,rap
jazz violin,jazz
jazz worship,jazz
jazzcore,jazz
jazztronica,jazz
jazzy dnb,jazz
jersey club,other
jesus movement,other
jewish a capella,other
jewish cantorial,other
jewish hip hop,hiphop
jewish pop,pop
jig and reel,other
jirai kei,other
jordanian pop,pop
joropo,other
josei rap,rap
jovem guarda,other
judaica,other
jug band,other
juju,other
jump blues,blues
jump up,other
jumpstyle,other
jungle,other
junior songfestival,other
k-indie,other
k-pop,k-pop
k-pop boy group,k-pop
k-pop girl group,k-pop
k-rap,rap
k-rock,rock
kaba gaida,other
kabarett,other
kabyle,other
kadongo kamu,other
kalmar indie,other
kaneka,other
kansas city hip hop,hiphop
kansas hip hop,hiphop
kansas indie,other
kantele,other
karaoke,other
karelian folk,folk
karneval,other
kashmiri hip hop,hiphop
kashmiri pop,pop
kasi rap,rap
kavkaz,other
kawaii edm,other
kawaii future bass,other
kawaii metal,metal
kayokyoku,other
kazakh hip hop,hiphop
kazakh indie,other
kazakh pop,pop
kazakh traditional,other
kc indie,other
kelowna bc indie,other
kent indie,other
kentucky hip hop,hiphop
kentucky indie,other
kentucky metal,metal
kentucky mountain folk,folk
kentucky punk,punk
kentucky roots,other
kenyan alternative,other
kenyan drill,other
kenyan pop,pop
kenyan r&b,other
kermis,other
keroncong,other
khaleeji iraqi,other
khaliji,other
khandeshi pop,pop
khayal,other
khmer,other
khmer hip hop,hiphop
kids dance party,other
kids hip hop,hiphop
kindermusik,other
kindie rock,rock
kingston on indie,other
kirtan,other
kiwi rock,rock
kizomba,other
kizomba antigas,other
kizomba cabo-verdiana,other
kleine hoerspiel,other
kleinkunst,other
klezmer,other
knoxville indie,other
kodomo no ongaku,other
kollywood,other
kolsche karneval,other
komedi,other
kompa,other
kompa gouyad,other
kora,other
korean city pop,pop
korean classical performance,classic
korean classical piano,classic
korean contemporary classical,classic
korean dream pop,pop
korean electronic,electronic
korean electropop,pop
korean experimental,other
korean hyperpop,pop
korean indie folk,folk
korean indie rock,rock
korean instrumental,other
korean jazz,jazz
korean metal,metal
korean old school hip hop,hiphop
korean pop,pop
korean punk,punk
korean r&b,other
korean shoegaze,other
korean singer-songwriter,other
korean talent show,other
korean traditional,other
korean trap,trap
korean underground rap,rap
kosovan indie,other
kosovan pop,pop
koto,other
krautrock,rock
kritika,other
kuduro,other
kuduro antigo,other
kundalini,other
kundiman,other
kurdish folk,folk
kurdish hip hop,hiphop
kurdish pop,pop
kwaito,other
kyrgyz traditional,other
kyushu indie,other
la indie,other
la pop,pop
laboratorio,other
lafayette indie,other
lagu bali,other
lagu iban,other
lagu maluku,other
lagu sasak,other
lagu timur,other
laiko,other
lancashire indie,other
lancaster pa indie,other
language,other
lao hip hop,hiphop
lapland hip hop,hiphop
lapland metal,metal
lata,other
late romantic era,other
latin afrobeat,other
latin alternative,other
latin american baroque,other
latin american classical piano,classic
latin american heavy psych,other
latin arena pop,pop
latin christian,other
latin classical,classic
latin funk,other
latin hip hop,hiphop
latin house,other
latin jazz,jazz
latin metal,metal
latin pop,pop
latin rock,rock
latin shoegaze,other
latin ska,other
latin soundtrack,other
latin surf rock,rock
latin talent show,other
latin tech house,other
latin viral pop,pop
latin worship,other
latincore,other
latino comedy,other
latintronica,other
latinx alternative,other
latvian electronic,electronic
latvian folk,folk
latvian hip hop,hiphop
latvian indie,other
latvian metal,metal
latvian pop,pop
latvian rock,rock
laulaja-lauluntekija,other
lawrence ks indie,other
lds,other
lds instrumental,other
lds youth,other
lebanese indie,other
lebanese pop,pop
leeds indie,other
leicester indie,other
leipzig electronic,electronic
leipzig indie,other
lexington ky indie,other
lgbtq+ hip hop,hiphop
liberian pop,pop
library music,other
liechtenstein,other
liedermacher,other
light music,other
lilith,other
limerick indie,other
lincoln ne indie,other
liquid funk,other
lithuanian edm,other
lithuanian electronic,electronic
lithuanian folk,folk
lithuanian hip hop,hiphop
lithuanian indie,other
lithuanian jazz,jazz
lithuanian metal,metal
lithuanian pop,pop
lithuanian rock,rock
little rock indie,rock
liverpool indie,other
livetronica,other
lo star,other
lo-fi,other
lo-fi beats,other
lo-fi brasileiro,other
lo-fi chill,other
lo-fi emo,other
lo-fi house,other
lo-fi indie,other
lo-fi jazzhop,jazz
lo-fi latino,other
lo-fi product,other
lo-fi rap,rap
lo-fi sleep,other
lo-fi study,other
lo-fi vgm,other
london indie,other
london on indie,other
london rap,rap
long island punk,punk
louisiana blues,blues
louisiana metal,metal
louisville indie,other
louisville underground,other
lounge,other
lounge house,other
lovecraftian metal,metal
lovers rock,rock
lowercase,other
lowlands hardcore,other
lullaby,other
lund indie,other
lute,other
luxembourgian electronic,electronic
luxembourgian hip hop,hiphop
luxembourgian indie,other
luxembourgian metal,metal
macedonian electronic,electronic
macedonian folk,folk
macedonian indie,other
macedonian rock,rock
madchester,other
madrigal,other
maga rap,rap
magyar alternative,other
magyar musicalek,other
magyar retro dance,other
mahraganat,other
maine hip hop,hiphop
maine indie,other
mainland chinese pop,pop
makina,other
makossa,other
malagasy folk,folk
malagasy pop,pop
malawian hip hop,hiphop
malawian pop,pop
malay rap,rap
malayalam hip hop,hiphop
malaysian hip hop,hiphop
malaysian indie,other
malaysian mandopop,pop
malaysian metal,metal
malaysian pop,pop
malaysian tamil pop,pop
malian blues,blues
malian traditional,other
mallet,other
mallsoft,other
malmo indie,other
maltese metal,metal
maltese pop,pop
mambo,other
man_s orchestra,other
manchester hip hop,hiphop
manchester indie,other
mande pop,pop
mandible,other
mandolin,other
mandopop,pop
manele,other
manguebeat,other
manila sound,other
manitoba country,other
manitoba indie,other
manso indie,other
mantra,other
maracatu,other
marathi devotional,other
marathi hip hop,hiphop
marathi pop,pop
marathi traditional,other
marching band,other
mariachi,other
mariachi cristiano,other
marimba,other
marimba de guatemala,other
marimba orquesta,other
marrabenta,other
martial industrial,other
mashcore,other
mashup,other
maskandi,other
math pop,pop
math rock,rock
mathcore,other
mathgrind,other
mbalax,other
mbira,other
mecha,other
medieval,other
medieval black metal,metal
medieval ensemble,other
medieval folk,folk
medieval rock,rock
meditation,other
medway sound,other
melancholia,other
melanesian pop,pop
melbourne bounce,other
melbourne bounce international,other
melbourne hip hop,hiphop
melbourne indie,other
melbourne punk,punk
mellow gold,other
melodic black metal,metal
melodic death metal,metal
melodic deathcore,other
melodic doom,other
melodic drill,other
melodic dubstep,other
melodic groove metal,metal
melodic hard rock,rock
melodic hardcore,other
melodic metal,metal
melodic metalcore,metal
melodic power metal,metal
melodic progressive metal,metal
melodic rap,rap
melodic techno,other
melodic thrash,other
melodipop,pop
meme,other
meme rap,rap
memphis americana,other
memphis blues,blues
memphis hip hop,hiphop
memphis indie,other
memphis soul,other
men chika,other
men_s choir,other
mento,other
merengue,other
merengue tipico,other
merida indie,other
merseybeat,other
messianic praise,other
mestissatge,other
metal,metal
metal baiano,metal
metal balear,metal
metal catala,metal
